x1,y1,x2,y2
0.10000000149011612,1.5,1.0995205640792847,1.4693597555160522
1.0995205640792847,1.4693597555160522,0.10000000149011612,1.5
0.10000000149011612,1.5,0.46980345249176025,1.91567862033844
0.46980345249176025,1.91567862033844,0.10000000149011612,1.5
1.0995205640792847,1.4693597555160522,0.46980345249176025,1.91567862033844
0.46980345249176025,1.91567862033844,1.0995205640792847,1.4693597555160522
1.0995205640792847,1.4693597555160522,1.984471082687378,1.935023307800293
1.984471082687378,1.935023307800293,1.0995205640792847,1.4693597555160522
1.984471082687378,1.935023307800293,2.960493326187134,1.7173980474472046
2.960493326187134,1.7173980474472046,1.984471082687378,1.935023307800293
1.0995205640792847,1.4693597555160522,0.6421801447868347,1.211667537689209
0.6421801447868347,1.211667537689209,1.0995205640792847,1.4693597555160522
0.10000000149011612,1.5,0.6421801447868347,1.211667537689209
0.6421801447868347,1.211667537689209,0.10000000149011612,1.5
0.46980345249176025,1.91567862033844,0.6421801447868347,1.211667537689209
0.6421801447868347,1.211667537689209,0.46980345249176025,1.91567862033844
2.960493326187134,1.7173980474472046,3.840224027633667,1.241946816444397
3.840224027633667,1.241946816444397,2.960493326187134,1.7173980474472046
3.840224027633667,1.241946816444397,4.690354347229004,1.7685002088546753
4.690354347229004,1.7685002088546753,3.840224027633667,1.241946816444397
4.690354347229004,1.7685002088546753,5.096748352050781,2.2270727157592773
5.096748352050781,2.2270727157592773,4.690354347229004,1.7685002088546753
3.840224027633667,1.241946816444397,3.4444918632507324,1.3072466850280762
3.4444918632507324,1.3072466850280762,3.840224027633667,1.241946816444397
2.960493326187134,1.7173980474472046,3.4444918632507324,1.3072466850280762
3.4444918632507324,1.3072466850280762,2.960493326187134,1.7173980474472046
4.690354347229004,1.7685002088546753,4.570511341094971,1.497838020324707
4.570511341094971,1.497838020324707,4.690354347229004,1.7685002088546753
3.840224027633667,1.241946816444397,4.570511341094971,1.497838020324707
4.570511341094971,1.497838020324707,3.840224027633667,1.241946816444397
5.096748352050781,2.2270727157592773,4.570511341094971,1.497838020324707
4.570511341094971,1.497838020324707,5.096748352050781,2.2270727157592773
4.570511341094971,1.497838020324707,4.28032112121582,1.75835120677948
4.28032112121582,1.75835120677948,4.570511341094971,1.497838020324707
4.690354347229004,1.7685002088546753,4.28032112121582,1.75835120677948
4.28032112121582,1.75835120677948,4.690354347229004,1.7685002088546753
3.840224027633667,1.241946816444397,4.28032112121582,1.75835120677948
4.28032112121582,1.75835120677948,3.840224027633667,1.241946816444397
